fold_id,train_start,train_end,cal_start,cal_end,test_start,test_end,strategy,total_profit,terminal_value,total_profit_with_terminal,max_drawdown,max_equity_drawdown,grid_throughput_kwh,equivalent_cycles,profit_per_cycle,profit_drawdown_ratio
0,2023-01-02,2023-04-02,2023-04-02,2023-04-16,2023-04-16,2023-04-23,baseline,72.18546967546298,0.0,72.18546967546298,0.05125750000000018,7.834000000000003,746.4681069958849,3.7323405349794245,19.34053685587961,9.214382138813244
0,2023-01-02,2023-04-02,2023-04-02,2023-04-16,2023-04-16,2023-04-23,conformal,-35.32028304525198,6.7632240504609085,-28.557058994791074,35.34926309007415,49.165680645050486,574.9016678491466,2.8745083392457333,-12.28741714296782,-0.7183930453489548
1,2023-02-01,2023-05-02,2023-05-02,2023-05-16,2023-05-16,2023-05-23,baseline,44.7756566875,0.0,44.7756566875,1.9876800000000117,18.371807222222216,540.2361111111111,2.7011805555555553,16.576328670591565,2.4371939105337526
1,2023-02-01,2023-05-02,2023-05-02,2023-05-16,2023-05-16,2023-05-23,conformal,-6.8212870297980475,19.12072276432819,12.299435734530142,7.5422984625409715,49.4054338711693,160.03711684020217,0.8001855842010108,-8.524631241150308,-0.13806754632669324
2,2023-03-03,2023-06-01,2023-06-01,2023-06-15,2023-06-15,2023-06-22,baseline,34.66941646965021,0.0,34.66941646965021,0.567445432098765,20.674999999999997,404.95164609053495,2.0247582304526746,17.122743816134125,1.6768762500435412
2,2023-03-03,2023-06-01,2023-06-01,2023-06-15,2023-06-15,2023-06-22,conformal,-24.686997833466666,8.515156574093501,-16.171841259373167,25.17207308346666,112.22740394431835,1104.5987302556146,5.522993651278073,-4.4698580864299675,-0.21997299203067305
3,2023-04-02,2023-07-01,2023-07-01,2023-07-15,2023-07-15,2023-07-22,baseline,86.06244788173876,0.0,86.06244788173876,0.9571713888888596,17.494814814814823,1015.454218106996,5.07727109053498,16.950532352344922,4.919311738519234
3,2023-04-02,2023-07-01,2023-07-01,2023-07-15,2023-07-15,2023-07-22,conformal,-19.721665469445412,8.278322300100353,-11.44334316934506,20.202665219445414,39.80662260452364,670.4316609916393,3.3521583049581967,-5.883273901556195,-0.49543679365564247
4,2023-05-02,2023-07-31,2023-07-31,2023-08-14,2023-08-14,2023-08-21,baseline,233.50928055555542,0.0,233.50928055555542,0.8289434722222779,392.4286156944448,881.1008230452677,4.405504115226338,53.00398647875479,0.5950363230834621
4,2023-05-02,2023-07-31,2023-07-31,2023-08-14,2023-08-14,2023-08-21,conformal,-50.8941621083598,7.642673963675282,-43.251488144684515,51.0938304255258,1463.3820736789214,1042.7766643736968,5.213883321868484,-9.761277528957248,-0.03477845124917556
5,2023-06-01,2023-08-30,2023-08-30,2023-09-13,2023-09-13,2023-09-20,baseline,65.16436909465021,-4.57677,60.587599094650216,0.5064064146090459,29.442576929012343,1051.800411522634,5.25900205761317,12.391014184966007,2.2132698931810575
5,2023-06-01,2023-08-30,2023-08-30,2023-09-13,2023-09-13,2023-09-20,conformal,-66.71760035634755,-3.847634924264207,-70.56523528061176,66.4071343444637,91.62463098797724,1389.063497359965,6.945317486799825,-9.606126787313913,-0.7281622816587612
6,2023-07-01,2023-09-29,2023-09-29,2023-10-13,2023-10-13,2023-10-20,baseline,54.27543433518519,0.0,54.27543433518519,0.42837750000000696,22.75657907407407,906.7983539094652,4.533991769547326,11.970783603915553,2.3850436464336444
6,2023-07-01,2023-09-29,2023-09-29,2023-10-13,2023-10-13,2023-10-20,conformal,-24.19724211490665,5.182448472998167,-19.014793641908483,24.48225851216752,32.485973512217214,1105.9055587460825,5.529527793730413,-4.37600515225593,-0.7448519929934263
7,2023-07-31,2023-10-29,2023-10-29,2023-11-12,2023-11-12,2023-11-19,baseline,103.66381150000001,0.0,103.66381150000001,0.017338333333327682,95.44096291666668,1342.166666666667,6.710833333333335,15.447233801067922,1.0861563874885989
7,2023-07-31,2023-10-29,2023-10-29,2023-11-12,2023-11-12,2023-11-19,conformal,-49.00647248934662,9.788054988374693,-39.218417500971924,49.35554240802914,59.543655205227765,1199.834044590927,5.9991702229546355,-8.168875139070579,-0.8230343320449026
8,2023-08-30,2023-11-28,2023-11-28,2023-12-12,2023-12-12,2023-12-19,baseline,72.86611412916669,0.0,72.86611412916669,0.001515000000004818,40.297,1083.2361111111113,5.416180555555557,13.453413042965396,1.8082267694658831
8,2023-08-30,2023-11-28,2023-11-28,2023-12-12,2023-12-12,2023-12-19,conformal,-35.332175548491136,8.71385592831262,-26.618319620178518,35.49263193091769,69.80907909847848,949.7251777036669,4.748625888518334,-7.440505185704465,-0.5061257934465607
9,2023-09-29,2023-12-28,2023-12-28,2024-01-11,2024-01-11,2024-01-18,baseline,51.05981975416671,0.0,51.05981975416671,0.0,44.56962962962963,916.8539094650208,4.584269547325104,11.138049197818185,1.1456191172883887
9,2023-09-29,2023-12-28,2023-12-28,2024-01-11,2024-01-11,2024-01-18,conformal,-20.751466005846023,5.723476107219243,-15.02798989862678,20.853166835436383,34.7077409368511,1046.769977167303,5.2338498858365154,-3.9648569329437997,-0.5978915782390509
10,2023-10-29,2024-01-27,2024-01-27,2024-02-10,2024-02-10,2024-02-17,baseline,104.02574421250017,0.0,104.02574421250017,0.0,38.693000000000005,1176.2500000000005,5.881250000000002,17.687692958554752,2.688490016605075
10,2023-10-29,2024-01-27,2024-01-27,2024-02-10,2024-02-10,2024-02-17,conformal,-43.28663306045759,7.317869911394711,-35.96876314906288,43.63482840349045,136.25494690032053,1074.2630629714765,5.371315314857383,-8.058851607673105,-0.31768852467517833
11,2023-11-28,2024-02-26,2024-02-26,2024-03-11,2024-03-11,2024-03-18,baseline,50.12679954583333,0.0,50.12679954583333,0.05765416666666745,17.86734994444444,879.6111111111113,4.3980555555555565,11.39749121234131,2.8054971611175854
11,2023-11-28,2024-02-26,2024-02-26,2024-03-11,2024-03-11,2024-03-18,conformal,-34.78636055186129,5.082193928006975,-29.70416662385432,34.72306682114787,50.80329875242802,807.8172308154948,4.039086154077474,-8.612433413123492,-0.6847264135618509
12,2023-12-28,2024-03-27,2024-03-27,2024-04-10,2024-04-10,2024-04-17,baseline,54.070748379166666,0.0,54.070748379166666,0.5538616666666627,10.013055138888884,796.6527777777777,3.9832638888888887,13.574483109189492,5.400025030239344
12,2023-12-28,2024-03-27,2024-03-27,2024-04-10,2024-04-10,2024-04-17,conformal,-6.52560244220198,9.594859915578173,3.069257473376193,6.708145686351595,69.33358452374164,173.38125213458335,0.8669062606729168,-7.527460278273485,-0.09411892500621316
13,2024-01-27,2024-04-26,2024-04-26,2024-05-10,2024-05-10,2024-05-17,baseline,54.8144969013889,0.0,54.8144969013889,1.3167173611111078,11.709984675925924,635.7638888888889,3.1788194444444446,17.243664781649375,4.681005007126933
13,2024-01-27,2024-04-26,2024-04-26,2024-05-10,2024-05-10,2024-05-17,conformal,-9.237648518588024,10.902861793417788,1.665213274829764,9.348299630430136,30.1750067008498,98.64483256270512,0.4932241628135256,-18.729107807478854,-0.3061357569914929
14,2024-02-26,2024-05-26,2024-05-26,2024-06-09,2024-06-09,2024-06-16,baseline,75.71944277484569,0.0,75.71944277484569,3.0575224999999833,14.470086111111115,1146.5488683127573,5.732744341563786,13.208236450710242,5.232825996571171
14,2024-02-26,2024-05-26,2024-05-26,2024-06-09,2024-06-09,2024-06-16,conformal,-26.061777200750157,9.167503397625753,-16.894273803124406,26.251504631406643,103.48875350801669,360.69407572008754,1.8034703786004378,-14.450903940532196,-0.25183197514048034
15,2024-03-27,2024-06-25,2024-06-25,2024-07-09,2024-07-09,2024-07-16,baseline,97.57911024444441,1.130085,98.7091952444444,7.264270694444445,14.363747731481475,1287.5833333333335,6.437916666666667,15.156939006321052,6.793429686221599
15,2024-03-27,2024-06-25,2024-06-25,2024-07-09,2024-07-09,2024-07-16,conformal,-11.504850801447015,5.4484553249369165,-6.056395476510098,11.3577931685512,75.5319944906966,160.91485574254784,0.8045742787127392,-14.299302259393558,-0.1523175824896837
16,2024-04-26,2024-07-25,2024-07-25,2024-08-08,2024-08-08,2024-08-15,baseline,127.05426541152248,0.0,127.05426541152248,6.1652223611111125,26.118957572016463,1389.4650205761318,6.947325102880659,18.28822799135171,4.864446257520128
16,2024-04-26,2024-07-25,2024-07-25,2024-08-08,2024-08-08,2024-08-15,conformal,-39.95241343679126,12.437752822748127,-27.514660614043134,40.716639811791254,56.14640208548201,819.3600160766493,4.096800080383247,-9.752102287855307,-0.71157566563151
17,2024-05-26,2024-08-24,2024-08-24,2024-09-07,2024-09-07,2024-09-14,baseline,0.7004699537037021,1.08702,1.7874899537037021,1.5660611111111122,36.34868978395062,83.48765432098769,0.41743827160493846,1.678020443622916,0.019270844640265062
17,2024-05-26,2024-08-24,2024-08-24,2024-09-07,2024-09-07,2024-09-14,conformal,-43.9045018287136,0.9826478529975153,-42.92185397571608,43.946779127110524,50.762462995368914,1322.281356699291,6.611406783496456,-6.6407200867308624,-0.8649009373859387
18,2024-06-25,2024-09-23,2024-09-23,2024-10-07,2024-10-07,2024-10-14,baseline,62.93484528189304,0.0,62.93484528189304,0.07208874999999182,110.18591941872427,728.4053497942389,3.6420267489711944,17.28017107498482,0.5711695796876775
18,2024-06-25,2024-09-23,2024-09-23,2024-10-07,2024-10-07,2024-10-14,conformal,-69.68668767898389,11.45520004212515,-58.23148763685874,70.3778314289839,76.24655321700708,1568.959773883987,7.844798869419935,-8.883170727376049,-0.91396508745316
