timestamp,price_kwh,action,power_kw,energy_bought_kwh,energy_sold_kwh,new_soc,profit,cumulative_profit,equity,strategy
2025-07-05 00:05:00,0.01918,hold,0.0,0.0,0.0,0.5,0.0,0.0,0.959,baseline
2025-07-05 00:10:00,0.01918,hold,0.0,0.0,0.0,0.5,0.0,0.0,0.959,baseline
2025-07-05 00:15:00,0.01918,hold,0.0,0.0,0.0,0.5,0.0,0.0,0.959,baseline
2025-07-05 00:20:00,0.01918,hold,0.0,0.0,0.0,0.5,0.0,0.0,0.959,baseline
2025-07-05 00:25:00,0.00895,charge,50.0,4.166666666666666,0.0,0.5375,-0.03766458333333333,-0.03766458333333333,0.44339791666666667,baseline
2025-07-05 00:30:00,0.00895,charge,50.0,4.166666666666666,0.0,0.575,-0.03766458333333333,-0.07532916666666666,0.4392958333333332,baseline
2025-07-05 00:35:00,0.00895,charge,50.0,4.166666666666666,0.0,0.6124999999999999,-0.03766458333333333,-0.11299374999999998,0.43519374999999993,baseline
2025-07-05 00:40:00,0.00895,charge,50.0,4.166666666666666,0.0,0.6499999999999999,-0.03766458333333333,-0.1506583333333333,0.43109166666666654,baseline
2025-07-05 00:45:00,0.00895,charge,50.0,4.166666666666666,0.0,0.6874999999999999,-0.03766458333333333,-0.18832291666666665,0.42698958333333314,baseline
2025-07-05 00:50:00,0.00895,charge,50.0,4.166666666666666,0.0,0.7249999999999999,-0.03766458333333333,-0.22598749999999998,0.42288749999999986,baseline
2025-07-05 00:55:00,0.00895,charge,50.0,4.166666666666666,0.0,0.7624999999999998,-0.03766458333333333,-0.2636520833333333,0.4187854166666665,baseline
2025-07-05 01:00:00,0.00895,charge,50.0,4.166666666666666,0.0,0.7999999999999998,-0.03766458333333333,-0.3013166666666666,0.41468333333333324,baseline
2025-07-05 01:05:00,0.00863,charge,50.0,4.166666666666666,0.0,0.8374999999999998,-0.036317916666666665,-0.3376345833333333,0.3851279166666667,baseline
2025-07-05 01:10:00,0.00895,charge,50.0,4.166666666666666,0.0,0.8749999999999998,-0.03766458333333333,-0.37529916666666663,0.4078258333333331,baseline
2025-07-05 01:15:00,0.00895,charge,50.0,4.166666666666666,0.0,0.9124999999999998,-0.03766458333333333,-0.41296374999999996,0.4037237499999997,baseline
2025-07-05 01:20:00,0.00895,charge,50.0,4.166666666666666,0.0,0.9499999999999997,-0.03766458333333333,-0.4506283333333333,0.39962166666666643,baseline
2025-07-05 01:25:00,0.00895,charge,50.0,4.166666666666666,0.0,0.9874999999999997,-0.03766458333333333,-0.48829291666666663,0.39551958333333304,baseline
2025-07-05 01:30:00,0.00895,charge,50.0,1.3888888888889204,0.0,1.0,-0.012554861111111395,-0.500847777777778,0.394152222222222,baseline
2025-07-05 01:35:00,0.00895,charge,50.0,0.0,0.0,1.0,0.0,-0.500847777777778,0.394152222222222,baseline
2025-07-05 01:40:00,0.00895,charge,50.0,0.0,0.0,1.0,0.0,-0.500847777777778,0.394152222222222,baseline
2025-07-05 01:45:00,0.00895,charge,50.0,0.0,0.0,1.0,0.0,-0.500847777777778,0.394152222222222,baseline
2025-07-05 01:50:00,0.00895,charge,50.0,0.0,0.0,1.0,0.0,-0.500847777777778,0.394152222222222,baseline
2025-07-05 01:55:00,0.00895,charge,50.0,0.0,0.0,1.0,0.0,-0.500847777777778,0.394152222222222,baseline
2025-07-05 02:00:00,0.00895,charge,50.0,0.0,0.0,1.0,0.0,-0.500847777777778,0.394152222222222,baseline
2025-07-05 02:05:00,0.00895,charge,50.0,0.0,0.0,1.0,0.0,-0.500847777777778,0.394152222222222,baseline
2025-07-05 02:10:00,0.00895,charge,50.0,0.0,0.0,1.0,0.0,-0.500847777777778,0.394152222222222,baseline
2025-07-05 02:15:00,0.00895,charge,50.0,0.0,0.0,1.0,0.0,-0.500847777777778,0.394152222222222,baseline
2025-07-05 02:20:00,0.00895,charge,50.0,0.0,0.0,1.0,0.0,-0.500847777777778,0.394152222222222,baseline
2025-07-05 02:25:00,0.00895,charge,50.0,0.0,0.0,1.0,0.0,-0.500847777777778,0.394152222222222,baseline
2025-07-05 02:30:00,0.00895,charge,50.0,0.0,0.0,1.0,0.0,-0.500847777777778,0.394152222222222,baseline
