timestamp,price_kwh,action,power_kw,energy_bought_kwh,energy_sold_kwh,new_soc,profit,cumulative_profit,equity,strategy,fold_id
2023-04-16 00:00:00,0.09917000000000001,hold,0.0,0.0,0.0,0.5,0.0,0.0,4.958500000000001,baseline,0
2023-04-16 00:05:00,0.101,discharge,50.0,0.0,4.166666666666666,0.4537037037037037,0.41662499999999997,0.41662499999999997,4.999032407407408,baseline,0
2023-04-16 00:10:00,0.09741,hold,0.0,0.0,0.0,0.4537037037037037,0.0,0.41662499999999997,4.8361527777777775,baseline,0
2023-04-16 00:15:00,0.09647,hold,0.0,0.0,0.0,0.4537037037037037,0.0,0.41662499999999997,4.79350462962963,baseline,0
2023-04-16 00:20:00,0.09568,hold,0.0,0.0,0.0,0.4537037037037037,0.0,0.41662499999999997,4.757662037037037,baseline,0
2023-04-16 00:25:00,0.101,discharge,50.0,0.0,4.166666666666666,0.40740740740740744,0.41662499999999997,0.8332499999999999,4.948064814814815,baseline,0
2023-04-16 00:30:00,0.101,discharge,50.0,0.0,4.166666666666666,0.36111111111111116,0.41662499999999997,1.2498749999999998,4.897097222222222,baseline,0
2023-04-16 00:35:00,0.101,discharge,50.0,0.0,4.166666666666666,0.3148148148148149,0.41662499999999997,1.6664999999999999,4.846129629629631,baseline,0
2023-04-16 00:40:00,0.101,discharge,50.0,0.0,4.166666666666666,0.2685185185185186,0.41662499999999997,2.083125,4.795162037037038,baseline,0
2023-04-16 00:45:00,0.101,discharge,50.0,0.0,4.166666666666666,0.22222222222222232,0.41662499999999997,2.4997499999999997,4.744194444444446,baseline,0
2023-04-16 00:50:00,0.10321999999999999,discharge,50.0,0.0,4.166666666666666,0.17592592592592604,0.42578249999999995,2.9255324999999996,4.741439907407408,baseline,0
2023-04-16 00:55:00,0.101,discharge,50.0,0.0,4.166666666666666,0.12962962962962976,0.41662499999999997,3.3421574999999994,4.65141675925926,baseline,0
2023-04-16 01:00:00,0.09006,hold,0.0,0.0,0.0,0.12962962962962976,0.0,3.3421574999999994,4.509601944444445,baseline,0
2023-04-16 01:05:00,0.10672,discharge,50.0,0.0,4.166666666666666,0.08333333333333348,0.44021999999999994,3.7823774999999995,4.671710833333334,baseline,0
2023-04-16 01:10:00,0.09183,hold,0.0,0.0,0.0,0.08333333333333348,0.0,3.7823774999999995,4.547627500000001,baseline,0
2023-04-16 01:15:00,0.101,discharge,50.0,0.0,4.166666666666666,0.037037037037037195,0.41662499999999997,4.1990025,4.573076574074076,baseline,0
2023-04-16 01:20:00,0.09184,hold,0.0,0.0,0.0,0.037037037037037195,0.0,4.1990025,4.53915064814815,baseline,0
2023-04-16 01:25:00,0.09086,hold,0.0,0.0,0.0,0.037037037037037195,0.0,4.1990025,4.535521018518519,baseline,0
2023-04-16 01:30:00,0.0902,hold,0.0,0.0,0.0,0.037037037037037195,0.0,4.1990025,4.533076574074075,baseline,0
2023-04-16 01:35:00,0.08981,hold,0.0,0.0,0.0,0.037037037037037195,0.0,4.1990025,4.531632129629631,baseline,0
2023-04-16 01:40:00,0.08809,hold,0.0,0.0,0.0,0.037037037037037195,0.0,4.1990025,4.52526175925926,baseline,0
2023-04-16 01:45:00,0.07995999999999999,hold,0.0,0.0,0.0,0.037037037037037195,0.0,4.1990025,4.495150648148149,baseline,0
2023-04-16 01:50:00,0.08612,hold,0.0,0.0,0.0,0.037037037037037195,0.0,4.1990025,4.517965462962964,baseline,0
2023-04-16 01:55:00,0.08538,hold,0.0,0.0,0.0,0.037037037037037195,0.0,4.1990025,4.515224722222223,baseline,0
2023-04-16 02:00:00,0.07973000000000001,hold,0.0,0.0,0.0,0.037037037037037195,0.0,4.1990025,4.494298796296297,baseline,0
2023-04-16 02:05:00,0.08766,hold,0.0,0.0,0.0,0.037037037037037195,0.0,4.1990025,4.523669166666668,baseline,0
2023-04-16 02:10:00,0.08717,hold,0.0,0.0,0.0,0.037037037037037195,0.0,4.1990025,4.521854351851853,baseline,0
2023-04-16 02:15:00,0.08641,hold,0.0,0.0,0.0,0.037037037037037195,0.0,4.1990025,4.519039537037038,baseline,0
2023-04-16 02:20:00,0.08623,hold,0.0,0.0,0.0,0.037037037037037195,0.0,4.1990025,4.518372870370372,baseline,0
2023-04-16 02:25:00,0.08456,hold,0.0,0.0,0.0,0.037037037037037195,0.0,4.1990025,4.512187685185186,baseline,0
2023-04-16 02:30:00,0.07717,hold,0.0,0.0,0.0,0.037037037037037195,0.0,4.1990025,4.484817314814816,baseline,0
2023-04-16 02:35:00,0.0845,hold,0.0,0.0,0.0,0.037037037037037195,0.0,4.1990025,4.511965462962964,baseline,0
2023-04-16 02:40:00,0.07456,hold,0.0,0.0,0.0,0.037037037037037195,0.0,4.1990025,4.475150648148149,baseline,0
2023-04-16 02:45:00,0.07669,hold,0.0,0.0,0.0,0.037037037037037195,0.0,4.1990025,4.483039537037038,baseline,0
2023-04-16 02:50:00,0.08263,hold,0.0,0.0,0.0,0.037037037037037195,0.0,4.1990025,4.505039537037038,baseline,0
2023-04-16 02:55:00,0.07973000000000001,hold,0.0,0.0,0.0,0.037037037037037195,0.0,4.1990025,4.494298796296297,baseline,0
2023-04-16 03:00:00,0.07973000000000001,hold,0.0,0.0,0.0,0.037037037037037195,0.0,4.1990025,4.494298796296297,baseline,0
2023-04-16 03:05:00,0.07972,hold,0.0,0.0,0.0,0.037037037037037195,0.0,4.1990025,4.494261759259261,baseline,0
2023-04-16 03:10:00,0.07973000000000001,hold,0.0,0.0,0.0,0.037037037037037195,0.0,4.1990025,4.494298796296297,baseline,0
2023-04-16 03:15:00,0.07973000000000001,hold,0.0,0.0,0.0,0.037037037037037195,0.0,4.1990025,4.494298796296297,baseline,0
2023-04-16 03:20:00,0.08714,hold,0.0,0.0,0.0,0.037037037037037195,0.0,4.1990025,4.521743240740742,baseline,0
2023-04-16 03:25:00,0.08199,hold,0.0,0.0,0.0,0.037037037037037195,0.0,4.1990025,4.502669166666668,baseline,0
2023-04-16 03:30:00,0.0896,hold,0.0,0.0,0.0,0.037037037037037195,0.0,4.1990025,4.530854351851853,baseline,0
2023-04-16 03:35:00,0.08556,hold,0.0,0.0,0.0,0.037037037037037195,0.0,4.1990025,4.51589138888889,baseline,0
2023-04-16 03:40:00,0.08544,hold,0.0,0.0,0.0,0.037037037037037195,0.0,4.1990025,4.515446944444445,baseline,0
2023-04-16 03:45:00,0.07704000000000001,hold,0.0,0.0,0.0,0.037037037037037195,0.0,4.1990025,4.4843358333333345,baseline,0
2023-04-16 03:50:00,0.07973999999999999,hold,0.0,0.0,0.0,0.037037037037037195,0.0,4.1990025,4.494335833333334,baseline,0
2023-04-16 03:55:00,0.07973000000000001,hold,0.0,0.0,0.0,0.037037037037037195,0.0,4.1990025,4.494298796296297,baseline,0
2023-04-16 04:00:00,0.07943,hold,0.0,0.0,0.0,0.037037037037037195,0.0,4.1990025,4.493187685185186,baseline,0
2023-04-16 04:05:00,0.07241,hold,0.0,0.0,0.0,0.037037037037037195,0.0,4.1990025,4.467187685185186,baseline,0
